Nome,Imagem,Especificacoes
Tubo Criogênico 5ml Rosca Externa - K2-9001,false.jpeg,"Volume;5,0 ml;Temperatura mínima;-196°C;Temperatura máxima;121°C;Material do tubo;Polipropileno de alta resistência – Grau USP VI;Material da tampa;HDPE;Tipo de rosca;Externa;Graduação;Cor branca com área para marcação;Fundo;Fundo redondo com base autossustentável;Esterilização;E-Beam (radiação ionizante);Isenção;Livre de DNA, Dnase, Rnase e Pirogênios;Autoclavável;121°C – 15 minutos;Observação;Usar somente na fase gasosa do nitrogênio líquido;"
"Microtubo De Centrifugação 2,0 Ml - K30-1020 ",false (3).jpeg,"Material;Polipropileno (PP);Tampa;Flat;Fundo;Em U;Graduação;De 500 em 500 μL;Velocidade Máxima de Centrifugação;12.000 rpm;Autoclavável;121°C, 15 psi, 15 min;"
Tubo De Centrifugação 15 Ml - K30-0015,15ml.jpeg,"Material;Polipropileno transparente;Tampa;Rosqueável;Fundo;Cônico;Autoclavável;121°C, 15 psi, 15 min;Temperatura de Trabalho;-20°C a 121°C;Centrifugação;10.000×g por 20 minutos;"
Tubo De Centrifugação 15 Ml - K30-0015S,15ml.jpeg,"Material;Polipropileno transparente;Tampa;Rosqueável;Fundo;Cônico;Autoclavável;121°C, 15 psi, 15 min;Temperatura de Trabalho;-20°C a 121°C;Centrifugação;10.000×g por 20 minutos;"
Tubo De Centrifugação 50 Ml - K30-0050,50ml.jpeg,"Material;Polipropileno transparente;Tampa;Rosqueável;Fundo;Cônico;Autoclavável;121°C, 15 psi, 15 min;Centrifugação;10.000 g;"
Tubo De Centrifugação 50 Ml - K30-0050S,50ml.jpeg,"Material;Polipropileno transparente;Tampa;Rosqueável;Fundo;Cônico;Autoclavável;121°C, 15 psi, 15 min;Centrifugação;10.000 g;"
